"","AGEP","RACAIAN","RACASN","RACBLK","RACSOR","RACWHT","ESR_label","SCHL_label","WAGP","YOEP","CITWP","years_to_nat"
"496",87,"0","0","0","0","1","Not in labor force","No schooling completed",0,1972,1991,19
"497",59,"0","0","0","1","0","Civilian employed, at work","Grade 7",40000,1984,2003,19
"498",45,"0","0","0","0","1","Not in labor force","Professional degree beyond a bachelor's degree",0,2003,2010,7
"499",52,"0","1","0","0","0","Civilian employed, at work","Associate's degree",60000,1984,1998,14
"500",67,"0","1","0","0","0","Not in labor force","No schooling completed",0,2007,2016,9
"501",62,"0","0","0","0","1","Civilian employed, at work","Bachelor's degree",0,1956,1973,17
"502",52,"0","1","0","0","0","Civilian employed, at work","Master's degree",90000,1990,2004,14
"503",42,"1","0","0","0","0","Civilian employed, at work","Master's degree",90000,1988,1997,9
"504",60,"0","0","0","0","1","Not in labor force","Grade 6",0,1998,2008,10
"505",46,"0","0","0","0","1","Civilian employed, at work","Bachelor's degree",155000,1993,2017,24
"506",53,"0","1","0","0","0","Civilian employed, at work","Associate's degree",60000,1982,1998,16
"507",53,"0","0","0","1","0","Not in labor force","Grade 6",0,1979,2008,29
"508",94,"0","0","0","0","1","Not in labor force","Bachelor's degree",0,1959,1964,5
"509",51,"0","1","0","0","0","Civilian employed, at work","Master's degree",900,1976,1977,1
"510",45,"0","1","0","0","0","Civilian employed, at work","1 or more years of college credit, no degree",35000,2001,2017,16
"511",76,"0","1","0","0","0","Not in labor force","Regular high school diploma",0,1993,1998,5
"512",47,"0","0","0","0","1","Civilian employed, at work","Regular high school diploma",23000,2006,2016,10
"513",60,"0","1","0","0","0","Civilian employed, at work","12th grade - no diploma",30000,1983,2005,22
"514",61,"0","1","0","0","0","Civilian employed, with a job but not at work","No schooling completed",0,1983,2010,27
"515",35,"0","0","0","0","1","Not in labor force","Associate's degree",0,1990,2015,25
"516",42,"0","1","0","0","0","Not in labor force","Associate's degree",0,2006,2013,7
"517",68,"0","0","0","0","1","Civilian employed, at work","1 or more years of college credit, no degree",150000,1965,1985,20
"518",27,"0","1","0","0","0","Civilian employed, at work","Bachelor's degree",63000,1992,2000,8
"519",49,"0","0","0","1","0","Civilian employed, at work","12th grade - no diploma",30000,1989,1992,3
"520",55,"0","1","0","0","0","Civilian employed, at work","Some college, but less than 1 year",43000,1990,1999,9
"521",59,"0","0","0","0","1","Not in labor force","Some college, but less than 1 year",0,1985,2009,24
"522",63,"0","1","0","0","0","Civilian employed, at work","Bachelor's degree",88000,1995,2016,21
"523",25,"0","0","0","1","1","Civilian employed, at work","Master's degree",66000,2000,2014,14
"524",64,"0","0","0","1","0","Not in labor force","Grade 4",12000,1995,2012,17
"525",74,"0","0","0","0","1","Not in labor force","Doctorate degree",0,1978,1986,8
"526",64,"0","1","0","0","0","Civilian employed, at work","Professional degree beyond a bachelor's degree",130000,1987,1990,3
"527",72,"0","1","0","0","0","Not in labor force","Grade 8",0,1974,1984,10
"528",56,"0","0","0","1","0","Civilian employed, at work","Regular high school diploma",38300,1999,2005,6
"529",35,"0","0","0","0","1","Not in labor force","Bachelor's degree",18900,2012,2017,5
"530",31,"0","0","0","0","1","Civilian employed, at work","Grade 8",10000,2010,2014,4
"531",65,"0","1","0","0","0","Civilian employed, at work","Grade 4",20300,1993,1999,6
"532",94,"0","1","0","0","0","Not in labor force","Grade 9",0,1974,1980,6
"533",28,"0","0","0","0","1","Civilian employed, at work","Master's degree",52000,1995,2016,21
"534",37,"0","1","0","0","0","Civilian employed, at work","Bachelor's degree",150000,1992,2000,8
"535",45,"0","0","0","1","1","Not in labor force","1 or more years of college credit, no degree",0,2001,2006,5
"536",61,"0","1","0","0","0","Civilian employed, at work","Bachelor's degree",24000,2002,2010,8
"537",63,"0","1","0","0","0","Civilian employed, at work","Regular high school diploma",60000,1981,1989,8
"538",44,"0","0","0","0","1","Civilian employed, at work","12th grade - no diploma",5900,1974,2016,42
"539",54,"0","1","0","0","0","Not in labor force","Associate's degree",16700,1992,2009,17
"540",55,"0","1","0","0","0","Civilian employed, at work","Associate's degree",73000,1997,2009,12
"541",50,"0","1","0","0","0","Civilian employed, at work","Associate's degree",1e+05,1975,1981,6
"542",43,"0","1","0","0","0","Civilian employed, at work","Bachelor's degree",82000,1983,1992,9
"543",31,"0","0","0","1","0","Civilian employed, at work","1 or more years of college credit, no degree",50000,1986,1987,1
"544",70,"0","0","0","0","1","Civilian employed, at work","1 or more years of college credit, no degree",32500,1959,1965,6
"545",58,"0","0","0","0","1","Not in labor force","Regular high school diploma",0,1980,2002,22
"546",69,"0","1","0","0","0","Not in labor force","Regular high school diploma",0,1981,1993,12
"547",47,"0","1","0","0","0","Civilian employed, at work","Bachelor's degree",60000,1985,2005,20
